id;product_id;quantity
1;1;10
2;2;15
3;3;20
4;4;25
5;5;30
6;6;35
7;7;40
8;8;45
9;9;50
10;10;55
11;11;60
12;12;65
13;13;70
14;14;75
15;15;80
16;16;85
17;17;90
18;18;95
19;19;100
20;20;105
21;21;110
22;22;115
23;23;120
24;24;125
25;25;130
26;26;135
27;27;140
28;28;145
29;29;150
30;30;155
31;31;160
32;32;165
33;33;170
34;34;175
35;35;180
36;36;185
37;37;190
38;38;195
39;39;200
40;40;205
41;41;210
42;42;215
43;43;220
44;44;225
45;45;230
46;46;235
47;47;240
48;48;245
49;49;250
50;50;255
51;51;260
52;52;265
53;53;270
54;54;275
55;55;280
56;56;285
57;57;290
58;58;295
59;59;300
60;60;305
61;61;310
62;62;315
63;63;320
64;64;325
65;65;330
66;66;335
67;67;340
68;68;345
69;69;350
70;70;355
71;71;360
72;72;365
73;73;370
74;74;375
75;75;380
76;76;385
77;77;390
78;78;395
79;79;400
80;80;405
81;81;410
82;82;415
83;83;420
84;84;425
85;85;430
86;86;435
87;87;440
88;88;445
89;89;450
90;90;455
91;91;460
92;92;465
93;93;470
94;94;475
95;95;475

